食物名称(100g),热量(kcal),硫胺素(mg),钙(mg),蛋白质(g),核黄素(mg),镁(mg),脂肪(g),烟酸(mg),铁(mg),碳水化合物(g),维生素C(mg),锰(mg),膳食纤维(g),维生素E(mg),锌(mg),维生素A(ug),胆固醇(mg),铜(mg),胡萝卜素(ug),钾(mg),磷(mg),视黄醇当量(ug),钠(mg),硒(mg),label
羊肺,96,0,12,16,0,8,2,1,8,2,0,0,0,1,2,0,319,0,1,139,172,78,146,9,8
羊肝,134,0,8,18,2,14,4,22,8,7,0,0,0,30,3,20972,349,5,1,241,299,70,123,18,9
羊脑,142,0,61,11,0,15,11,4,0,0,0,0,0,0,1,0,2004,0,2,146,356,76,152,38,11
羊舌,225,0,0,19,0,0,14,3,0,5,0,0,0,0,0,0,148,0,1,0,0,61,0,0,8
羊肾,96,0,8,17,2,18,3,8,6,1,0,0,0,0,3,126,289,0,1,115,233,78,193,59,23
羊心,113,0,10,14,0,17,6,6,4,2,0,0,0,2,2,16,104,0,1,200,172,78,101,17,8
羊血,57,0,22,7,0,2,0,0,18,7,0,0,0,0,1,0,92,0,1,6,7,85,443,16,1
腊羊肉,246,0,14,26,0,29,11,3,7,12,0,0,0,7,10,0,100,0,4,310,210,48,8992,45,23
羊肉(熟),217,0,13,23,0,18,14,4,2,0,0,0,0,0,2,18,88,0,2,239,136,62,408,8,8
羊肉串(电烤),234,0,52,26,0,54,12,6,7,6,0,0,0,2,5,42,93,0,3,430,230,53,796,7,27
羊肉串(烤),206,0,4,26,0,45,10,6,8,2,0,0,0,1,2,52,110,0,3,205,254,59,485,3,8
羊肉串(炸),217,0,38,18,0,29,12,5,4,10,0,0,0,7,4,40,109,0,3,297,194,57,581,7,8
羊肉干,588,0,77,28,0,101,47,11,10,14,0,0,0,0,6,0,166,0,2,520,546,9,184,10,27
羊肉手抓,188,0,3,27,0,20,9,4,2,0,0,0,0,1,3,10,95,0,1,178,124,63,226,9,8
山羊肉(酱),272,0,43,25,0,38,14,8,4,12,0,0,0,1,4,0,92,0,3,134,169,46,938,3,27
驴肉(瘦),116,0,2,22,0,7,3,2,4,0,0,0,0,3,4,72,74,0,1,325,178,74,47,6,8
驴鞭,143,0,51,30,0,184,1,0,7,4,0,0,0,1,5,0,186,0,5,152,48,60,698,15,8
驴肉(酱),160,0,8,34,0,9,3,1,4,0,0,0,0,0,5,0,116,0,2,185,197,61,229,3,8
驴肉(卤),151,0,6,28,0,31,2,5,5,6,0,0,0,1,3,70,95,0,2,219,179,63,307,1,8
驴肉(煮),230,0,13,27,0,30,14,0,8,0,0,0,0,0,4,25,0,0,2,114,170,58,207,29,8
马肉,122,0,5,20,0,41,5,2,5,0,0,0,0,1,12,28,84,0,1,526,367,74,116,4,8
马心,104,0,25,19,0,27,3,3,12,1,0,0,0,2,5,32,119,15,1,176,240,76,66,15,21
马肉(卤),170,0,4,30,0,22,5,6,6,1,0,0,0,0,3,17,102,0,2,171,193,62,237,3,8
狗肉,116,0,52,17,0,14,5,4,3,2,0,0,0,1,3,12,62,0,1,140,107,76,47,15,8
骆驼蹄,116,0,36,26,0,8,1,0,4,0,0,0,0,0,5,9,55,1,1,48,53,72,210,20,8
骆驼掌,310,0,152,73,0,59,2,0,0,0,0,1,0,0,3,26,360,3,3,69,23,22,171,0,27
兔肉,102,0,12,20,0,15,2,6,2,1,0,0,0,0,1,26,59,0,1,284,165,76,45,11,8
兔肉(野),84,0,23,17,0,46,2,0,7,0,0,0,0,0,8,0,48,0,1,371,293,81,88,10,8
鸡(均值),167,0,9,19,0,19,9,6,1,1,0,0,0,1,1,48,106,0,1,251,156,69,63,12,8
鸡(土鸡，家养),124,0,9,21,0,40,4,16,2,0,0,0,0,2,1,64,106,0,1,276,141,74,74,13,27
母鸡(一年内),256,0,2,20,0,16,17,9,1,6,0,0,0,1,1,139,166,0,1,275,120,56,62,0,27
肉鸡(肥),389,0,37,17,0,7,35,13,2,1,0,0,0,0,1,226,106,0,1,123,102,46,48,5,27
华青鸡,158,0,1,20,0,22,9,6,2,0,0,0,0,1,2,109,74,0,1,184,166,71,63,13,8
沙鸡,147,0,0,20,0,51,7,5,25,2,0,0,0,0,11,1,106,0,1,249,522,70,82,36,23
乌骨鸡,111,0,17,22,0,51,2,7,2,0,0,0,0,2,2,0,106,0,1,323,210,74,64,8,8
鸡胸脯肉,133,0,3,19,0,28,5,11,1,2,0,0,0,0,1,16,82,0,1,338,214,72,34,10,27
鸡翅,194,0,8,17,0,17,12,5,1,5,0,0,0,0,1,68,113,0,1,205,161,65,51,11,8
鸡腿,181,0,6,16,0,34,13,6,2,0,0,0,0,0,1,44,162,0,1,242,172,70,64,12,8
鸡爪,254,0,36,24,0,7,16,2,1,3,0,0,0,0,1,37,103,0,1,108,76,56,169,10,8
鸡肝,121,0,7,17,1,16,5,12,12,3,0,0,0,2,2,10414,356,0,1,222,263,74,92,39,35
鸡肝(肉鸡),121,0,4,17,1,17,4,0,10,4,0,0,0,1,3,2867,476,0,1,321,216,74,98,0,8
鸡心,172,0,54,16,0,11,12,12,5,1,0,0,0,0,2,910,194,0,1,220,176,71,108,4,27
鸡血,49,0,10,8,0,4,0,0,25,4,0,0,0,0,0,56,170,0,1,136,68,87,208,12,1
鸡肫[鸡胗],118,0,7,19,0,15,3,3,4,4,0,0,0,1,3,36,174,2,1,272,135,73,75,11,8
扒鸡,217,0,31,30,0,24,11,9,3,0,0,0,0,0,3,32,211,0,3,149,157,56,1001,8,27
烤鸡,240,0,25,22,0,14,17,4,2,0,0,0,0,0,1,37,99,0,2,142,136,59,472,4,8
肯德鸡[炸鸡],279,0,109,20,0,28,17,17,2,10,0,0,0,6,2,23,198,0,2,232,530,49,755,11,27
卤煮鸡,212,0,71,29,0,43,8,0,5,6,0,0,0,1,4,76,0,1,2,40,18,54,222,17,8
瓦罐鸡汤(肉),190,0,16,21,0,8,10,0,2,5,0,0,0,1,2,63,116,0,1,23,62,63,201,0,8
瓦罐鸡汤(汤),27,0,2,1,0,5,2,0,0,0,0,0,0,0,0,0,24,0,1,39,20,95,251,0,1
鸡肉松,440,0,76,7,0,29,16,1,7,66,0,1,0,15,1,90,81,0,6,109,83,5,1688,3,3
鸭(均值),240,0,6,16,0,14,20,4,2,0,0,0,0,0,1,52,94,0,1,191,122,64,69,12,8
公麻鸭,360,0,4,14,0,16,31,0,3,6,0,0,0,0,2,238,143,0,1,109,122,48,62,0,0
母麻鸭,461,0,9,13,0,20,45,0,3,1,0,0,0,1,1,476,132,0,1,155,64,40,49,0,0
鸭胸脯肉,90,0,6,15,0,24,2,4,4,4,0,0,0,2,1,0,121,0,1,126,86,79,60,13,8
鸭皮,538,0,6,6,0,0,50,1,3,15,0,0,0,0,1,21,46,0,0,38,42,28,26,5,0
鸭翅,146,0,20,16,0,5,6,2,2,6,0,0,0,0,1,14,49,0,0,100,84,71,54,10,8
鸭掌,150,0,24,27,0,3,2,1,1,6,0,0,0,0,1,11,36,0,0,28,91,65,61,5,8
鸭肠,129,0,31,14,0,13,8,3,2,0,0,0,0,0,1,16,187,0,1,136,166,77,32,25,8
鸭肝,128,0,18,14,1,18,8,7,23,0,18,0,0,1,3,1040,341,1,1,230,283,76,87,57,23
鸭肝(公麻鸭),136,0,1,15,0,12,4,0,35,10,0,0,0,0,4,2850,313,4,1,236,102,70,99,0,8
鸭肝(母麻鸭),113,0,1,17,1,13,2,0,50,6,0,0,0,1,7,4675,255,6,1,289,252,74,108,0,35
鸭舌[鸭条],245,0,13,17,0,6,20,2,2,0,0,0,0,0,1,35,118,0,1,44,94,63,82,12,8
